query,faq_id
年假怎么申请？需要走什么流程？,HR-001
请问年假怎么申请？需要走什么流程？,HR-001
咨询一下年假怎么申请？需要走什么流程？,HR-001
申请年假需要提供哪些材料？,HR-002
想问下申请年假需要提供哪些材料？,HR-002
请问申请年假需要提供哪些材料？需要准备什么？,HR-002
病假怎么申请？需要走什么流程？,HR-003
请问病假怎么申请？需要走什么流程？需要准备什么？,HR-003
麻烦问下病假怎么申请？需要走什么流程？,HR-003
申请病假需要提供哪些材料？,HR-004
请问申请病假需要提供哪些材料？,HR-004
想问下申请病假需要提供哪些材料？,HR-004
事假怎么申请？需要走什么流程？,HR-005
事假怎么申请？需要走什么流程？需要准备什么？,HR-005
请问事假怎么申请？需要走什么流程？需要准备什么？,HR-005
申请事假需要提供哪些材料？,HR-006
想问下申请事假需要提供哪些材料？需要准备什么？,HR-006
麻烦问下申请事假需要提供哪些材料？,HR-006
调休怎么申请？需要走什么流程？,HR-007
麻烦问下调休怎么申请？需要走什么流程？需要准备什么？,HR-007
咨询一下调休怎么申请？需要走什么流程？,HR-007
申请调休需要提供哪些材料？,HR-008
想问下申请调休需要提供哪些材料？流程是什么？,HR-008
咨询一下申请调休需要提供哪些材料？怎么弄？,HR-008
产假/陪产假怎么申请？需要走什么流程？,HR-009
想问下产假/陪产假怎么申请？需要走什么流程？,HR-009
咨询一下产假/陪产假怎么申请？需要走什么流程？,HR-009
申请产假/陪产假需要提供哪些材料？,HR-010
请问申请产假/陪产假需要提供哪些材料？流程是什么？,HR-010
请问申请产假/陪产假需要提供哪些材料？怎么弄？,HR-010
迟到/早退怎么处理？,HR-011
咨询一下迟到/早退怎么处理？需要准备什么？,HR-011
咨询一下迟到/早退怎么处理？,HR-011
忘记打卡怎么办？,HR-012
麻烦问下忘记打卡怎么办？需要准备什么？,HR-012
请问忘记打卡怎么办？流程是什么？,HR-012
加班怎么申请？,HR-013
请问加班怎么申请？需要准备什么？,HR-013
咨询一下加班怎么申请？需要准备什么？,HR-013
远程办公怎么申请？,HR-014
咨询一下远程办公怎么申请？需要准备什么？,HR-014
想问下远程办公怎么申请？,HR-014
工资发放日是每月几号？,HR-015
请问工资发放日是每月几号？,HR-015
咨询一下工资发放日是每月几号？,HR-015
工资条在哪里查看？,HR-016
想问下工资条在哪里查看？,HR-016
麻烦问下工资条在哪里查看？怎么弄？,HR-016
个税申报相关问题找谁？,HR-017
麻烦问下个税申报相关问题找谁？怎么弄？,HR-017
想问下个税申报相关问题找谁？怎么弄？,HR-017
社保/公积金缴纳比例是多少？,HR-018
咨询一下社保/公积金缴纳比例是多少？,HR-018
补充医疗/商业保险怎么用？,HR-019
入职需要准备哪些材料？,HR-020
想问下入职需要准备哪些材料？流程是什么？,HR-020
麻烦问下入职需要准备哪些材料？怎么弄？,HR-020
试用期多久？试用期考核怎么做？,HR-021
咨询一下试用期多久？试用期考核怎么做？,HR-021
离职流程怎么走？,HR-022
想问下离职流程怎么走？,HR-022
咨询一下离职流程怎么走？流程是什么？,HR-022
转岗/调岗怎么申请？,HR-023
咨询一下转岗/调岗怎么申请？,HR-023
想问下转岗/调岗怎么申请？需要准备什么？,HR-023
差旅如何报销？需要哪些凭证？,HR-024
咨询一下差旅如何报销？需要哪些凭证？,HR-024
麻烦问下差旅如何报销？需要哪些凭证？流程是什么？,HR-024
差旅报销需要在多久内提交？,HR-025
麻烦问下差旅报销需要在多久内提交？,HR-025
咨询一下差旅报销需要在多久内提交？,HR-025
交通如何报销？需要哪些凭证？,HR-026
想问下交通如何报销？需要哪些凭证？需要准备什么？,HR-026
交通如何报销？需要哪些凭证？怎么弄？,HR-026
交通报销需要在多久内提交？,HR-027
交通报销需要在多久内提交？流程是什么？,HR-027
餐费如何报销？需要哪些凭证？,HR-028
咨询一下餐费如何报销？需要哪些凭证？,HR-028
想问下餐费如何报销？需要哪些凭证？需要准备什么？,HR-028
餐费报销需要在多久内提交？,HR-029
