faq_id,title,question,answer,tags
HR-001,年假申请流程,年假怎么申请？需要走什么流程？,年假可在系统中发起申请，建议提前提交，审批通过后生效。年假天数以公司政策与工龄规则为准。,leave;attendance
HR-002,年假材料要求,申请年假需要提供哪些材料？,年假可在系统中发起申请，建议提前提交，审批通过后生效。年假天数以公司政策与工龄规则为准。如有特殊情况请联系HR确认。,leave;attendance
HR-003,病假申请流程,病假怎么申请？需要走什么流程？,病假需在系统中提交请假单，并按要求补充病假证明。具体证明要求以公司制度为准。,leave;attendance
HR-004,病假材料要求,申请病假需要提供哪些材料？,病假需在系统中提交请假单，并按要求补充病假证明。具体证明要求以公司制度为准。如有特殊情况请联系HR确认。,leave;attendance
HR-005,事假申请流程,事假怎么申请？需要走什么流程？,事假可在系统提交申请，说明事由与时间安排。审批通过后生效，是否带薪以公司制度为准。,leave;attendance
HR-006,事假材料要求,申请事假需要提供哪些材料？,事假可在系统提交申请，说明事由与时间安排。审批通过后生效，是否带薪以公司制度为准。如有特殊情况请联系HR确认。,leave;attendance
HR-007,调休申请流程,调休怎么申请？需要走什么流程？,调休需满足可用调休额度，在系统中选择调休类型并提交审批。,leave;attendance
HR-008,调休材料要求,申请调休需要提供哪些材料？,调休需满足可用调休额度，在系统中选择调休类型并提交审批。如有特殊情况请联系HR确认。,leave;attendance
HR-009,产假/陪产假申请流程,产假/陪产假怎么申请？需要走什么流程？,产假/陪产假请按公司制度准备材料并在系统提交申请，HR 会协助确认时长与手续。,leave;benefits
HR-010,产假/陪产假材料要求,申请产假/陪产假需要提供哪些材料？,产假/陪产假请按公司制度准备材料并在系统提交申请，HR 会协助确认时长与手续。如有特殊情况请联系HR确认。,leave;benefits
HR-011,考勤处理规则,迟到/早退怎么处理？,如发生迟到/早退，请在系统按规定进行补卡/说明并提交审批。考勤结果以系统记录与审批为准。,attendance
HR-012,考勤处理规则,忘记打卡怎么办？,可在系统发起补卡申请，填写原因与时间，按流程审批后更新考勤记录。,attendance
HR-013,考勤处理规则,加班怎么申请？,加班需按部门要求在系统发起申请并保留相关记录，是否结算调休/加班费以制度为准。,attendance;ot
HR-014,考勤处理规则,远程办公怎么申请？,如需远程办公，请按部门与公司制度提前申请并获得审批，期间需保持工作可达与产出可追踪。,attendance;remote
HR-015,薪酬福利常见问题,工资发放日是每月几号？,工资发放日以公司财务安排为准，若遇节假日可能顺延或提前，具体以通知为准。,payroll
HR-016,薪酬福利常见问题,工资条在哪里查看？,工资条可在指定平台/系统中查看，如无法访问请联系HR或IT支持。,payroll
HR-017,薪酬福利常见问题,个税申报相关问题找谁？,个税申报一般由员工在个税APP完成，涉及公司信息或专项扣除证明可联系HR咨询。,tax;payroll
