query,faq_id
咨询一下加班怎么申请？需要准备什么？,HR-013
麻烦问下采购如何报销？需要哪些凭证？需要准备什么？,HR-030
请问工资发放日是每月几号？,HR-015
VPN怎么申请？,HR-036
请问申请病假需要提供哪些材料？,HR-004
病假如何申请？需要走什么流程？,HR-043
保密制度有哪些要求？,HR-041
请问事假怎么申请？需要走什么流程？需要准备什么？,HR-005
想问下采购如何报销？要准备什么凭证？需要准备什么？,HR-060
想问下忘记打卡如何办？,HR-048
咨询一下保密制度有哪些要求？,HR-041
差旅如何报销？需要哪些凭证？,HR-024
请问年终奖/绩效奖金怎么发？怎么弄？,HR-040
麻烦问下补充医疗/商业保险如何用？,HR-053
想问下事假如何申请？需要走什么流程？怎么弄？,HR-044
咨询一下出差如何申请？需要准备什么？,HR-032
入职需要准备哪些材料？,HR-020
想问下餐费如何报销？需要哪些凭证？需要准备什么？,HR-028
餐费如何报销？要准备什么凭证？,HR-059
想问下忘记密码怎么办？流程是什么？,HR-035
想问下电脑/工牌等资产如何领用与归还？需要准备什么？,HR-038
忘记打卡如何处理？,HR-049
忘记打卡怎么办？,HR-012
调休怎么申请？需要走什么流程？,HR-007
麻烦问下调休如何申请？需要走什么流程？,HR-045
想问下餐费如何报销？要准备什么凭证？,HR-059
咨询一下转岗/调岗怎么申请？,HR-023
想问下采购如何报销？需要哪些凭证？,HR-030
想问下加班如何申请？,HR-050
补充医疗/商业保险如何用？,HR-053
想问下交通如何报销？需要哪些凭证？需要准备什么？,HR-026
申请产假/陪产假需要提供哪些材料？,HR-010
想问下VPN如何申请？流程是什么？,HR-064
办公软件许可证怎么申请？,HR-037
社保/公积金缴纳比例是多少？,HR-018
差旅如何报销？要准备什么凭证？,HR-057
想问下申请年假需要提供哪些材料？,HR-002
请问申请产假/陪产假需要提供哪些材料？怎么弄？,HR-010
想问下忘记密码如何办？,HR-062
想问下远程办公怎么申请？,HR-014
请问保密制度有哪些要求？,HR-041
年终奖/绩效奖金如何发？,HR-067
转岗/调岗如何申请？,HR-056
请问工资条在哪儿查看？需要准备什么？,HR-052
麻烦问下年终奖/绩效奖金怎么发？,HR-040
请问年假如何申请？需要走什么流程？流程是什么？,HR-042
咨询一下产假/陪产假如何申请？需要走什么流程？流程是什么？,HR-046
咨询一下迟到/早退如何处理？流程是什么？,HR-047
麻烦问下事假如何申请？需要走什么流程？需要准备什么？,HR-044
麻烦问下年终奖/绩效奖金如何发？怎么弄？,HR-067
机票/酒店怎么预订？怎么弄？,HR-033
差旅报销需要在多久内提交？,HR-025
申请调休需要提供哪些材料？,HR-008
调休如何申请？需要走什么流程？需要准备什么？,HR-045
咨询一下餐费如何报销？需要哪些凭证？,HR-028
申请病假需要提供哪些材料？,HR-004
